"","prec","jant","jult","humid","mort","lnox","lso2","lhc"
"1",36,27,71,59,921.87,2.70805020110221,4.07753744390572,3.04452243772342
"2",35,23,72,57,997.875,2.30258509299405,3.66356164612965,2.07944154167984
"3",44,29,74,54,962.354,1.79175946922805,3.49650756146648,1.79175946922805
"4",47,45,79,56,982.291,2.07944154167984,3.17805383034795,2.89037175789616
"5",43,35,77,55,1071.289,3.63758615972639,5.32787616878958,3.76120011569356
"6",53,45,80,54,1030.38,3.46573590279973,4.27666611901606,3.40119738166216
"7",43,30,74,56,934.7,3.46573590279973,4.12713438504509,3.04452243772342
"8",45,30,73,56,899.529,1.38629436111989,1.38629436111989,1.79175946922805
"9",36,24,70,61,1001.902,2.484906649788,3.61091791264422,2.89037175789616
"10",36,27,72,59,912.347,1.94591014905531,2.99573227355399,2.484906649788
"11",52,42,79,56,1017.613,2.07944154167984,3.29583686600433,2.89037175789616
"12",33,26,76,58,1024.885,4.14313472639153,5.62762111369064,4.47733681447821
"13",40,34,77,57,970.467,3.25809653802148,4.98360662170834,3.25809653802148
"14",35,28,71,60,985.95,3.04452243772342,4.15888308335967,3.43398720448515
"15",37,31,75,58,958.839,2.19722457733622,2.70805020110221,3.13549421592915
"16",35,46,85,54,860.101,0,0,0
"17",36,30,75,58,936.234,1.38629436111989,2.77258872223978,1.79175946922805
"18",15,30,73,38,871.766,2.07944154167984,3.3322045101752,2.83321334405622
"19",31,27,74,59,959.221,3.55534806148941,4.82028156560504,3.95124371858143
"20",30,24,72,61,941.181,1.38629436111989,2.39789527279837,2.39789527279837
"21",31,45,85,53,891.708,0,0,0
"22",31,24,72,61,871.338,1.09861228866811,2.30258509299405,1.6094379124341
"23",42,40,77,53,971.122,1.09861228866811,1.6094379124341,2.07944154167984
"24",43,27,72,56,887.466,1.09861228866811,2.30258509299405,1.94591014905531
"25",46,55,84,59,952.529,1.6094379124341,0,1.79175946922805
"26",39,29,75,60,968.665,1.94591014905531,3.49650756146648,2.56494935746154
"27",35,31,81,55,919.729,1.38629436111989,1.38629436111989,1.94591014905531
"28",43,32,74,54,844.053,1.94591014905531,3.46573590279973,2.39789527279837
"29",11,53,68,47,861.833,5.76519110278484,4.86753445045558,6.47389069635227
"30",30,35,71,57,989.265,3.61091791264422,5.26269018890489,3.63758615972639
"31",50,42,82,59,1006.49,2.89037175789616,3.52636052461616,2.70805020110221
"32",60,67,82,60,861.439,0,0,1.09861228866811
"33",30,20,69,64,929.15,3.13549421592915,4.8283137373023,3.49650756146648
"34",25,12,73,58,857.622,2.39789527279837,3.25809653802148,2.99573227355399
"35",45,40,80,56,961.009,2.63905732961526,4.35670882668959,2.83321334405622
"36",46,30,72,58,923.234,1.09861228866811,2.07944154167984,1.38629436111989
"37",54,54,81,62,1113.156,2.83321334405622,0,2.99573227355399
"38",42,33,77,58,994.648,3.25809653802148,4.68213122712422,3.71357206670431
"39",42,32,76,54,1015.023,3.46573590279973,5.08140436498446,3.36729582998647
"40",36,29,72,56,991.29,4.07753744390572,5.57215403217776,3.80666248977032
"41",37,38,67,73,893.991,3.04452243772342,3.78418963391826,4.02535169073515
"42",42,29,72,56,938.5,1.38629436111989,2.89037175789616,1.79175946922805
"43",41,33,77,54,946.185,2.39789527279837,4.48863636973214,2.39789527279837
"44",44,39,78,53,1025.502,2.19722457733622,3.87120101090789,2.484906649788
"45",32,25,72,60,874.281,1.38629436111989,2.89037175789616,1.94591014905531
"46",34,32,79,57,953.56,2.70805020110221,4.21950770517611,3.43398720448515
"47",10,55,70,61,839.709,4.18965474202643,2.99573227355399,4.969813299576
"48",18,48,63,71,911.701,5.14166355650266,4.45434729625351,5.73979291217923
"49",13,49,68,71,790.733,3.46573590279973,1.09861228866811,4.65396035015752
"50",35,40,64,72,899.264,1.94591014905531,2.99573227355399,2.99573227355399
"51",45,28,74,56,904.155,1.38629436111989,2.99573227355399,1.6094379124341
"52",38,24,72,61,950.672,1.6094379124341,3.2188758248682,2.07944154167984
"53",31,26,73,59,972.464,1.94591014905531,3.2188758248682,2.39789527279837
"54",40,23,71,60,912.202,0.693147180559945,2.39789527279837,1.6094379124341
"55",41,37,78,52,967.803,3.3322045101752,4.62497281328427,4.17438726989564
"56",28,32,81,54,823.764,0.693147180559945,0,1.38629436111989
"57",45,33,76,56,1003.502,2.39789527279837,3.73766961828337,2.63905732961526
"58",45,24,70,56,895.696,1.09861228866811,2.07944154167984,1.94591014905531
"59",42,33,76,54,911.817,2.07944154167984,3.89182029811063,2.07944154167984
"60",38,28,72,58,954.442,2.56494935746154,3.66356164612965,2.63905732961526
